symbol,stock_position,change_pct
SMCI,32.64,+10.94%
MU,362.75,+7.76%
MRNA,41.83,+6.28%
CEG,307.71,-9.82%
TEAM,118.55,-7.71%
VST,166.60,-7.54%
ASX 200,"8,864.30",-0.44%
NIKKEI,"53,412.88",-0.97%
NIFTY 50,"25,694.35",UNCH
HSI,"26,641.05",-0.76%
SHANGHAI,"4,113.194",+0.28%
